,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income,state,county,tract,blockgroup
890,271090014013005,34115,987,562,131,28,298,562,614,103,678,131,562,431,27,109,001401,3
891,270530059021010,14800,1088,465,65,25,270,465,520,59,701,65,465,400,27,053,005902,1
892,040134226071014,22742,1588,908,621,20,98,908,2133,332,2149,621,908,287,04,013,422607,1
893,360050265001002,10571,1649,538,41,123,369,538,917,0,936,41,538,497,36,005,026500,1
894,060710057011015,8174,1042,630,9,36,168,630,755,59,801,9,630,621,06,071,005701,1
895,350010032011020,23859,1437,705,431,17,206,705,1080,205,1135,431,705,274,35,001,003201,1
896,291694704003014,21681,2061,757,366,185,541,757,1018,358,1206,366,757,391,29,169,470400,3
897,350130017052008,8287,1924,508,369,141,402,508,935,59,1070,369,508,139,35,013,001705,2
898,120810008102032,67362,3137,1523,1171,73,311,1523,2575,578,2681,1171,1523,352,12,081,000810,2
899,371830536081043,28796,2035,718,445,96,675,718,1004,69,1159,445,718,273,37,183,053608,1
900,291174805001063,11055,1648,731,254,88,516,731,835,198,974,254,731,477,29,117,480500,1
901,200559605011031,29337,939,361,278,18,183,361,598,91,708,278,361,83,20,055,960501,1
902,180973309001010,13135,1760,675,166,87,506,675,654,85,859,166,675,509,18,097,330900,1
903,290470222002037,24339,728,337,290,8,105,337,506,101,576,290,337,47,29,047,022200,2
904,261635345001008,9754,555,157,115,0,118,157,308,67,373,115,157,42,26,163,534500,1
905,261635796004020,17809,1264,535,312,89,271,535,731,36,805,312,535,223,26,163,579600,4
906,517600711001028,39298,1113,606,455,29,101,606,856,87,966,455,606,151,51,760,071100,1
907,530419704002030,20562,837,462,179,45,99,462,545,46,644,179,462,283,53,041,970400,2
908,401430094011015,25527,914,381,347,128,102,381,623,101,698,347,381,34,40,143,009401,1
909,080310030032008,5832,646,413,51,890,0,413,89,9,211,51,413,362,08,031,003003,2
910,191810209001010,22368,2635,1163,547,69,632,1163,1373,227,1603,547,1163,616,19,181,020900,1
911,320030029642001,21434,1422,675,183,16,166,675,1008,148,1159,183,675,492,32,003,002964,2
912,481130190392002,22848,743,330,165,26,135,330,471,11,500,165,330,165,48,113,019039,2
913,550939603001033,34658,1438,528,466,76,287,528,975,135,1059,466,528,62,55,093,960300,1
914,290839504002072,18428,863,376,279,35,184,376,551,100,594,279,376,97,29,083,950400,2
915,484530018332001,19581,1408,602,327,114,222,602,786,99,955,327,602,275,48,453,001833,2
916,191573704003017,21315,628,306,227,6,201,306,367,50,421,227,306,79,19,157,370400,3
917,201110007001097,19455,1725,605,484,115,512,605,995,102,1053,484,605,121,20,111,000700,1
918,291650306004011,26710,1025,440,369,35,214,440,697,97,744,369,440,71,29,165,030600,4
919,201770036072040,39341,1427,643,336,87,260,643,905,96,1013,336,643,307,20,177,003607,2
920,171790210001009,22371,666,324,261,28,84,324,453,110,501,261,324,63,17,179,021000,1
921,201079551005111,22289,1240,559,543,22,295,559,816,160,836,543,559,16,20,107,955100,5
922,401091053004014,15973,303,130,108,0,88,130,191,31,203,108,130,22,40,109,105300,4
923,170190104002063,23799,1176,493,306,49,211,493,753,96,831,306,493,187,17,019,010400,2
924,051430103024001,12465,3053,841,342,89,822,841,1079,61,1737,342,841,499,05,143,010302,4
925,190539603002024,13816,905,398,208,52,214,398,692,74,704,208,398,190,19,053,960300,2
926,120570072001009,15584,1155,477,260,56,138,477,753,120,828,260,477,217,12,057,007200,1
927,530330312043022,31548,2085,709,548,374,334,709,1222,192,1373,548,709,161,53,033,031204,3
928,481130130041010,49588,1134,456,456,34,263,456,764,74,837,456,456,0,48,113,013004,1
929,292294903004000,17331,741,320,213,30,165,320,435,99,457,213,320,107,29,229,490300,4
930,471570213202023,59430,2255,904,662,290,476,904,1421,152,1520,662,904,242,47,157,021320,2
931,292054503002084,17373,943,458,283,57,240,458,595,109,622,283,458,175,29,205,450300,2
932,360050068001000,19133,1393,412,45,37,240,412,783,20,846,45,412,367,36,005,006800,1
933,080310043044031,35458,1346,759,495,19,239,759,920,120,1057,495,759,264,08,031,004304,4
934,060376016002000,11548,1501,388,153,110,385,388,768,0,889,153,388,235,06,037,601600,2
935,201679738006041,19063,1024,515,363,29,220,515,628,62,705,363,515,152,20,167,973800,6
936,401091072072013,21643,816,341,148,104,184,341,364,31,412,148,341,193,40,109,107207,2
937,371379502013007,19849,790,340,271,53,73,340,598,134,600,271,340,69,37,137,950201,3
938,050879601003049,18358,921,316,276,66,86,316,656,79,656,276,316,40,05,087,960100,3
939,410710305024013,21562,1023,378,212,54,245,378,550,64,623,212,378,166,41,071,030502,4
940,471570217212002,12340,961,361,0,78,311,361,359,0,546,0,361,361,47,157,021721,2
941,131350504213019,14771,2982,818,598,130,950,818,1395,120,1676,598,818,220,13,135,050421,3
942,170279006021092,34797,1429,524,493,33,389,524,910,99,947,493,524,31,17,027,900602,1
943,080690004022027,35045,1222,562,303,89,186,562,638,184,705,303,562,259,08,069,000402,2
944,080310034021001,95568,1185,525,481,26,246,525,850,56,868,481,525,44,08,031,003402,1
945,180973533001044,18033,572,356,0,56,66,356,410,64,444,0,356,356,18,097,353300,1
946,518000652002001,51749,1004,457,378,17,166,457,888,159,888,378,457,79,51,800,065200,2
947,120174503043294,28508,4695,2014,1853,179,707,2014,4388,918,4427,1853,2014,161,12,017,450304,3
948,191712904002000,18990,879,394,251,26,238,394,503,82,597,251,394,143,19,171,290400,2
949,201610013022037,22789,1657,621,490,64,404,621,1011,134,1149,490,621,131,20,161,001302,2
950,291869603001077,21413,1341,554,489,42,246,554,876,100,958,489,554,65,29,186,960300,1
951,340030154002003,37351,1598,677,58,150,218,677,863,72,1087,58,677,619,34,003,015400,2
952,517100066032031,20150,955,339,275,19,103,339,551,245,652,275,339,64,51,710,006603,2
953,060014506024000,46080,651,229,205,31,63,229,519,96,519,205,229,24,06,001,450602,4
954,060730041004018,20417,1858,760,173,71,370,760,831,125,1194,173,760,587,06,073,004100,4
955,170312421001011,48617,754,386,218,0,26,386,399,22,626,218,386,168,17,031,242100,1
956,171118712022000,26513,2034,881,487,87,535,881,1032,80,1225,487,881,394,17,111,871202,2
957,401430042001017,44786,639,372,339,8,59,372,476,89,557,339,372,33,40,143,004200,1
958,390610223013028,18829,1370,451,315,168,200,451,701,130,758,315,451,136,39,061,022301,3
959,132759611003016,21742,879,406,256,59,185,406,637,88,648,256,406,150,13,275,961100,3
960,301110007013025,20425,1190,500,338,62,211,500,781,133,835,338,500,162,30,111,000701,3
961,131210078021005,25232,3537,1458,665,52,937,1458,1967,279,2134,665,1458,793,13,121,007802,1
962,484391110111007,24063,3650,1093,953,389,1163,1093,1902,324,2072,953,1093,140,48,439,111011,1
963,360050211004002,9502,1169,407,0,176,294,407,532,0,590,0,407,407,36,005,021100,4
964,201314802001035,19413,1085,399,341,71,300,399,596,66,637,341,399,58,20,131,480200,1
965,191530045013006,21834,1266,468,354,9,329,468,747,75,848,354,468,114,19,153,004501,3
966,060650449152003,11730,2732,915,205,217,729,915,1273,75,1450,205,915,710,06,065,044915,2
967,060376008013014,32489,520,217,148,0,56,217,400,65,400,148,217,69,06,037,600801,3
968,400370208002123,20927,1284,558,355,13,250,558,897,170,930,355,558,203,40,037,020800,2
969,290099602005066,13451,2035,715,465,100,646,715,1011,93,1130,465,715,250,29,009,960200,5
970,060371199004005,24386,455,145,97,26,109,145,263,24,307,97,145,48,06,037,119900,4
971,480396614004000,20387,745,309,172,73,172,309,431,100,464,172,309,137,48,039,661400,4
972,201919621004035,28309,661,257,181,24,123,257,410,68,449,181,257,76,20,191,962100,4
973,390351871032009,22864,1134,425,306,86,257,425,672,65,720,306,425,119,39,035,187103,2
974,120950135111000,14037,2936,1004,682,293,621,1004,1781,157,1870,682,1004,322,12,095,013511,1
975,401091063022005,12248,706,270,54,58,187,270,416,12,455,54,270,216,40,109,106302,2
976,484391137052012,22611,1429,472,196,79,230,472,638,149,777,196,472,276,48,439,113705,2
977,483030104034014,32194,1743,692,567,78,320,692,1068,156,1293,567,692,125,48,303,010403,4
978,421010168005001,10847,1092,272,211,79,62,272,555,21,581,211,272,61,42,101,016800,5
979,060670070191046,14500,653,312,0,31,87,312,366,78,465,0,312,312,06,067,007019,1
980,291892200022004,25207,1388,794,224,51,216,794,808,96,916,224,794,570,29,189,220002,2
981,201730100012047,50292,2455,734,707,159,796,734,1408,130,1468,707,734,27,20,173,010001,2
982,170310305002000,24782,1986,828,302,40,453,828,1256,63,1579,302,828,526,17,031,030500,2
983,080899682003055,12897,928,462,280,36,185,462,620,87,682,280,462,182,08,089,968200,3
984,130210126004006,9451,2051,529,346,160,264,529,885,8,997,346,529,183,13,021,012600,4
985,291892159005011,24006,934,397,303,48,129,397,684,34,762,303,397,94,29,189,215900,5
986,171770008001015,24430,864,428,285,47,120,428,664,118,705,285,428,143,17,177,000800,1
987,401091022002001,21245,673,278,235,0,78,278,493,73,557,235,278,43,40,109,102200,2
988,121270903041046,23705,1761,655,492,20,338,655,1077,276,1319,492,655,163,12,127,090304,1
989,290819502002114,18598,619,252,183,38,160,252,358,70,378,183,252,69,29,081,950200,2
990,291594803002073,20010,1042,395,337,45,231,395,623,132,724,337,395,58,29,159,480300,2
991,170318236042009,32745,794,298,287,36,146,298,517,90,549,287,298,11,17,031,823604,2
992,131270005011004,7120,723,265,97,2,184,265,321,64,392,97,265,168,13,127,000501,1
993,060990022003008,9960,688,172,50,52,199,172,267,9,353,50,172,122,06,099,002200,3
994,011130309021021,19580,2224,776,639,108,574,776,1149,396,1423,639,776,137,01,113,030902,1
995,120110903012004,12434,3153,824,203,20,246,824,2243,220,2485,203,824,621,12,011,090301,2
996,270530268121014,34448,1902,723,668,87,523,723,1183,89,1288,668,723,55,27,053,026812,1
997,171635033011003,23858,1195,581,398,43,192,581,738,81,853,398,581,183,17,163,503301,1
998,201730108021049,28453,1875,887,368,135,415,887,859,73,1135,368,887,519,20,173,010802,1
999,484219502001853,24647,1474,454,349,64,405,454,935,168,993,349,454,105,48,421,950200,1
1000,480850304081087,37561,179,129,23,0,20,129,82,0,142,23,129,106,48,085,030408,1
1001,340312641025014,45526,755,372,264,40,71,372,608,111,625,264,372,108,34,031,264102,5
1002,483396916012005,80838,1498,655,466,47,199,655,1044,182,1243,466,655,189,48,339,691601,2
1003,080370004033173,28783,3755,1383,787,177,976,1383,2087,214,2532,787,1383,596,08,037,000403,3
1004,200530867004008,13320,764,309,246,91,176,309,803,114,979,246,309,63,20,053,086700,4
1005,040131143011029,7267,1718,179,54,49,223,179,1211,154,1392,54,179,125,04,013,114301,1
1006,120090713321128,18173,6476,1962,1565,470,1763,1962,3430,548,3939,1565,1962,397,12,009,071332,1
1007,060816133001006,86465,1753,524,510,156,518,524,1153,80,1194,510,524,14,06,081,613300,1
1008,050719519002019,21544,1333,581,478,73,223,581,841,86,879,478,581,103,05,071,951900,2
1009,130570909041003,25348,1923,763,639,64,526,763,1188,136,1300,639,763,124,13,057,090904,1
1010,371739603021222,26417,2086,959,809,164,280,959,1516,330,1645,809,959,150,37,173,960302,1
1011,340190113012049,37946,2040,745,604,80,470,745,1495,187,1724,604,745,141,34,019,011301,2
1012,060014354002013,19785,1107,467,92,10,296,467,600,53,674,92,467,375,06,001,435400,2
1013,081010028071006,22367,701,278,181,0,231,278,361,30,447,181,278,97,08,101,002807,1
1014,361190123033050,58449,1739,495,478,53,381,495,1069,89,1279,478,495,17,36,119,012303,3
1015,360050073001001,15236,920,367,25,29,160,367,513,44,624,25,367,342,36,005,007300,1
1016,481130137182004,18579,1094,335,139,74,270,335,554,59,653,139,335,196,48,113,013718,2
1017,291379601001099,17345,1240,520,298,134,311,520,659,106,739,298,520,222,29,137,960100,1
1018,120950142002005,18989,1548,561,447,76,172,561,1061,149,1129,447,561,114,12,095,014200,2
1019,200870203001149,21251,1788,732,604,52,420,732,1055,173,1212,604,732,128,20,087,020300,1
1020,060372347004003,21168,418,224,61,9,61,224,293,39,303,61,224,163,06,037,234700,4
1021,311530107011045,30099,1551,538,518,89,405,538,944,112,1032,518,538,20,31,153,010701,1
1022,170311105022008,23757,1883,650,485,114,401,650,1332,74,1379,485,650,165,17,031,110502,2
1023,200870201022132,21764,1605,651,558,72,422,651,1048,142,1091,558,651,93,20,087,020102,2
1024,470650114462021,23529,1814,819,446,113,193,819,1227,241,1379,446,819,373,47,065,011446,2
1025,360050238001001,,7,7,7,0,0,7,7,7,7,7,7,0,36,005,023800,1
1026,390351881041005,23015,1751,833,331,149,314,833,1327,109,1424,331,833,502,39,035,188104,1
1027,371190040001005,17090,988,479,239,8,137,479,720,67,756,239,479,240,37,119,004000,1
1028,040131167142005,46572,1972,733,594,85,548,733,1226,81,1283,594,733,139,04,013,116714,2
1029,481130085004006,9752,687,194,95,88,266,194,629,60,664,95,194,99,48,113,008500,4
1030,291070905004025,19481,966,426,298,33,242,426,633,99,673,298,426,128,29,107,090500,4
1031,290950135042028,32460,1410,579,360,30,367,579,799,158,979,360,579,219,29,095,013504,2
1032,270530228021012,29126,1678,1170,110,0,125,1170,907,48,1321,110,1170,1060,27,053,022802,1
1033,200134806001108,24815,967,418,372,28,204,418,652,94,720,372,418,46,20,013,480600,1
